Freq,Intensity
224.395371977,-68703087.58736451
224.396485558,29617785.544550102
224.397599139,158057956.76328847
224.39871272,-26069616.660190243
224.399826301,71224279.25242549
224.400939882,234487236.10815015
224.402053463,-22238790.72003445
224.403167044,-190958800.23828635
224.404280626,-65109480.72662582
224.405394207,-5946960.042902776
224.406507788,-171571340.21286714
224.407621369,-439182231.4671877
224.40873495,-318322134.8700934
224.409848531,36132276.92695783
224.410962112,61205607.88073957
224.412075693,-126294690.76801355
224.413189274,-146217793.18855613
224.414302855,85275750.8196064
224.415416436,118098000.56516093
224.416530017,-17768467.296662245
224.417643598,105068061.48817214
224.418757179,-85066144.42028712
224.41987076,-516410287.11543906
224.420984342,-333990840.42515683
224.422097923,28336917.67024561
224.423211504,-26281258.212526806
224.424325085,-200321003.79413158
224.425438666,24901618.83293882
224.426552247,124957386.52815293
224.427665828,44941496.95023435
224.428779409,-133735400.95462772
224.42989299,-25232680.706182685
224.431006571,256670076.19078508
224.432120152,67348262.47236815
224.433233733,-168104417.4762629
224.434347314,-369764951.5411328
224.435460895,-512400406.5298492
224.436574476,-287568228.12264484
224.437688058,27997930.977343943
224.438801639,146650739.07818878
224.43991522,146245650.06022212
224.441028801,-338615064.9014892
224.442142382,-323777633.60529166
224.443255963,28805716.65447579
224.444369544,-161943163.6503454
224.445483125,179790115.06333187
224.446596706,478766292.0879379
224.447710287,-29300333.89744752
224.448823868,-220126085.67320564
224.449937449,-77862794.08930035
224.45105103,-91582198.053649
224.452164611,275243264.7306871
224.453278193,428756246.67635465
224.454391774,-78735286.16598362
224.455505355,-250320095.52791
224.456618936,-236343370.6658424
224.457732517,-227244533.7913405
224.458846098,-426463200.10929656
224.459959679,24166945.194873475
224.46107326,127865260.8380038
224.462186841,3805104.9556339015
224.463300422,99662697.38968275
224.464414003,187688780.00011772
224.465527584,107589993.46825075
224.466641165,67930001.20777453
224.467754746,113935383.45586593
224.468868327,402997757.3685273
224.469981909,112597656.48919198
224.47109549,-81704092.11518562
224.472209071,-203111106.20192683
224.473322652,-272815438.160452
224.474436233,-153753393.12227488
224.475549814,214115888.59950578
224.476663395,569118630.9994661
224.477776976,526200655.6172737
224.478890557,443603976.14694965
224.480004138,208647290.69587022
224.481117719,-59715364.047904976
224.4822313,-179313460.8848799
224.483344881,-394627550.136559
224.484458462,-399847412.284616
224.485572043,-151282411.07436132
224.486685625,-10784595.28003865
224.487799206,-121754398.30297801
224.488912787,12065678.476314487
224.490026368,384660780.64161396
224.491139949,361753787.6945527
224.49225353,209197255.35098207
224.493367111,197964417.0694306
224.494480692,203768980.10276347
224.495594273,168694726.9879331
224.496707854,19875448.65156745
224.497821435,-54678417.83192193
224.498935016,41511354.87199186
224.500048597,265954037.4817239
224.501162178,483167203.56301314
224.502275759,369432088.178171
224.503389341,154542.39273365907
224.504502922,-47911019.42416759
224.505616503,-96750548.13310285
224.506730084,128601775.35138652
224.507843665,291229823.358973
224.508957246,110691222.68698269
224.510070827,92971338.28948769
224.511184408,157692069.5265083
224.512297989,-51129282.98367358
224.51341157,-124233228.20359601
224.514525151,-2825682.696484214
224.515638732,480983394.4780489
224.516752313,679879266.2045263
224.517865894,517090948.2279808
224.518979475,159933552.5714208
224.520093057,-139887839.81278846
224.521206638,-305237477.1761196
224.522320219,-210334670.40875986
224.5234338,299449796.42303616
224.524547381,135876732.98488057
224.525660962,129039088.8252433
224.526774543,198670350.8699491
224.527888124,-318439986.15382445
224.529001705,-152283741.58505002
224.530115286,269325332.94902265
224.531228867,-159578642.52124175
224.532342448,147155110.29206544
224.533456029,119034561.0467636
224.53456961,205110219.46186468
224.535683191,-273625012.8987165
224.536796773,-125023220.44235262
224.537910354,-59724347.38324337
224.539023935,243447076.4122088
224.540137516,66786535.62613261
224.541251097,-96529748.43487707
224.542364678,270344824.00918674
224.543478259,75979185.97854926
224.54459184,3447024.02227753
224.545705421,169959928.6219027
224.546819002,47451213.763810016
224.547932583,-438170117.5323497
224.549046164,-538187103.9131961
224.550159745,-288224779.96612114
224.551273326,-117580557.18677433
224.552386907,-287320696.15773565
224.553500489,-189401760.0706781
224.55461407,-157214063.72618026
224.555727651,-450408404.1465506
224.556841232,-300372142.20901334
224.557954813,-192489962.13175038
224.559068394,-393096513.8980945
224.560181975,-238833461.2023643
224.561295556,-168748394.7831846
224.562409137,-92531939.64572878
224.563522718,40310493.498961136
224.564636299,80417506.95005597
224.56574988,13393369.049043607
224.566863461,135357452.39150286
224.567977042,167406919.60494956
224.569090624,-123196304.94697648
224.570204205,-179117446.090174
224.571317786,-232272795.67743826
224.572431367,-274750019.4982987
224.573544948,198293059.5771797
224.574658529,324867640.0912323
224.57577211,22878776.358685683
224.576885691,33393767.202989083
224.577999272,27296833.625651218
224.579112853,-90750644.94541566
224.580226434,-127808125.10481304
224.581340015,-47919577.38385942
